#IDX KIND POS_X POS_Y POS_Z EUL_PSI EUL_THETA EUL_PHI
84 turn -15.5 -0.5 -4.5 -1.57079632679 -0.0 0.0
85 turntwist -14.5 -0.5 -4.5 0.0 1.57079632679 0
86 turn -14.5 -0.5 -5.5 3.14159265359 -0.0 3.14159265359
87 turn -15.5 -0.5 -5.5 3.14159265359 1.57079632679 0
88 straight -15.5 -0.5 -6.5 3.14159265359 -0.0 -1.57079632679
89 turntwist -15.5 -0.5 -7.5 3.14159265359 -0.0 -1.57079632679
90 turn -15.5 -1.5 -7.5 1.57079632679 -1.57079632679 0
91 turntwist -15.5 -1.5 -6.5 0.0 -0.0 0.0
92 turn -14.5 -1.5 -6.5 0.0 1.57079632679 0
93 turntwist -14.5 -1.5 -7.5 3.14159265359 -0.0 1.57079632679
94 turn -14.5 -0.5 -7.5 -1.57079632679 -1.57079632679 0
95 turntwist -14.5 -0.5 -6.5 0.0 -0.0 0.0
96 turn -13.5 -0.5 -6.5 0.0 1.57079632679 0
97 turntwist -13.5 -0.5 -7.5 3.14159265359 -0.0 -1.57079632679
98 turn -13.5 -1.5 -7.5 1.57079632679 -1.57079632679 0
99 turntwist -13.5 -1.5 -6.5 0.0 -0.0 0.0
100 turn -12.5 -1.5 -6.5 0.0 1.57079632679 0
101 turntwist -12.5 -1.5 -7.5 3.14159265359 -0.0 1.57079632679
102 turn -12.5 -0.5 -7.5 -1.57079632679 -1.57079632679 0
103 straight -12.5 -0.5 -6.5 0.0 -0.0 0.0
104 turntwist -12.5 -0.5 -5.5 0.0 -0.0 3.14159265359
105 turn -13.5 -0.5 -5.5 0.0 -1.57079632679 0
106 turn -13.5 -0.5 -4.5 0.0 -0.0 0.0
107 turntwist -12.5 -0.5 -4.5 -1.57079632679 -0.0 -1.57079632679
108 turn -12.5 -1.5 -4.5 -1.57079632679 -0.0 3.14159265359
109 turntwist -13.5 -1.5 -4.5 3.14159265359 1.57079632679 0
110 turn -13.5 -1.5 -5.5 3.14159265359 -0.0 0.0
111 turntwist -12.5 -1.5 -5.5 -1.57079632679 -0.0 -1.57079632679
112 turn -12.5 -2.5 -5.5 -1.57079632679 -0.0 3.14159265359
113 turntwist -13.5 -2.5 -5.5 0.0 -1.57079632679 0
114 turn -13.5 -2.5 -4.5 0.0 -0.0 0.0
115 turntwist -12.5 -2.5 -4.5 -1.57079632679 -0.0 -1.57079632679
116 turn -12.5 -3.5 -4.5 -1.57079632679 -0.0 3.14159265359
117 turntwist -13.5 -3.5 -4.5 3.14159265359 1.57079632679 0
118 turn -13.5 -3.5 -5.5 3.14159265359 -0.0 0.0
119 turn -12.5 -3.5 -5.5 0.0 1.57079632679 0
120 turntwist -12.5 -3.5 -6.5 3.14159265359 -0.0 1.57079632679
121 turntwist -12.5 -2.5 -6.5 1.57079632679 -0.0 3.14159265359
122 turn -13.5 -2.5 -6.5 1.57079632679 -0.0 -1.57079632679
123 turntwist -13.5 -3.5 -6.5 1.57079632679 1.57079632679 0
